Aafrika	África
Kategooria:Akita prefektuur	Categoria:Província de Akita
Kategooria:Ehime prefektuur	Categoria:Província de Ehime
Kategooria:Okayama prefektuur	Categoria:Província de Okayama
Kategooria:Wakayama prefektuur	Categoria:Província de Wakayama
Kategooria:Chiba prefektuur	Categoria:Província de Chiba
Kategooria:Hokkaidō prefektuur	Categoria:Província de Hokkaido
Kategooria:Fukushima prefektuur	Categoria:Província de Fukushima
Kategooria:Fukuoka prefektuur	Categoria:Província de Fukuoka
Kategooria:Hiroshima prefektuur	Categoria:Província de Hiroshima
Kategooria:Guangdong	Categoria:Guangdong
Kategooria:Shanxi	Categoria:Shanxi
Kategooria:Sichuan	Categoria:Sichuan
Kategooria:Pyongyang	Categoria:Pyongyang
Kategooria:Gifu prefektuur	Categoria:Província de Gifu
Kategooria:Ibaraki prefektuur	Categoria:Província de Ibaraki
Kategooria:Iwate prefektuur	Categoria:Província de Iwate
Kategooria:Hyōgo prefektuur	Categoria:Província de Hyogo
Kategooria:Guizhou	Categoria:Guizhou
Kategooria:Liaoning	Categoria:Liaoning
Kategooria:Shaanxi	Categoria:Shaanxi
Kategooria:Anhui	Categoria:Anhui
Kategooria:Jiangxi	Categoria:Jiangxi
Kategooria:Jiangsu	Categoria:Jiangsu
Kategooria:Fujian	Categoria:Fujian
Kategooria:Heilongjiang	Categoria:Heilongjiang
Kategooria:Kyōto	Categoria:Quioto
Kategooria:Austria filosoofid	Categoria:Filósofos da Áustria
Kategooria:Fukuoka	Categoria:Fukuoka
Kategooria:Sündinud 980	Categoria:Nascidos em 980
Kategooria:2	Categoria:2
Kategooria:Surnud 1037	Categoria:Mortos em 1037
Kategooria:3	Categoria:3
Kategooria:1	Categoria:1
Kategooria:5	Categoria:5
Kategooria:7	Categoria:7
Kategooria:9	Categoria:9
Kategooria:Surnud 9	Categoria:Mortos em 9
Kategooria:11	Categoria:11
Kategooria:12	Categoria:12
Kategooria:13	Categoria:13
Kategooria:Teheran	Categoria:Teerã
Kategooria:15	Categoria:15
Kategooria:16	Categoria:16
Kategooria:Rahvusvahelised organisatsioonid	Categoria:Organizações internacionais
Kategooria:17	Categoria:17
Kategooria:Surnud 17	Categoria:Mortos em 17
Kategooria:Entomoloogia	Categoria:Entomologia
Kategooria:19	Categoria:19
Kategooria:Leningradi oblasti jõed	Categoria:Rios do oblast de Leningrado
Kategooria:Lülijalgsed	Categoria:Artrópodes
Kategooria:21	Categoria:21
Kategooria:Ministrid	Categoria:Ministros
Kategooria:23	Categoria:23
Kategooria:Madagaskari provintsid	Categoria:Províncias de Madagáscar
Kategooria:Madagaskari piirkonnad	Categoria:Regiões de Madagascar
Kategooria:26	Categoria:26
Kategooria:Dominikaani Vabariigi geograafia	Categoria:Geografia da República Dominicana
Kategooria:28	Categoria:28
Kategooria:Sündinud 30	Categoria:Nascidos em 30
Kategooria:31	Categoria:31
Kategooria:Sündinud 32	Categoria:Nascidos em 32
Kategooria:Leiutajad	Categoria:Inventores
Kategooria:33	Categoria:33
Kategooria:35	Categoria:35
Kategooria:37	Categoria:37
Kategooria:Dominikaani Vabariik	Categoria:República Dominicana
Kategooria:Sündinud 37	Categoria:Nascidos em 37
Mall:LBR	Predefinição:Condados da Libéria
Kategooria:38	Categoria:38
Kategooria:39	Categoria:39
Kategooria:Ulmesarjad	Categoria:Séries de ficção científica
Kategooria:Peruu kirjanikud	Categoria:Escritores do Peru
Kategooria:41	Categoria:41
Kategooria:Lastefilmid	Categoria:Filmes infantis
Kategooria:Guinea-Bissau geograafia	Categoria:Geografia da Guiné-Bissau
Kategooria:Surnud 41	Categoria:Mortos em 41
Kategooria:Hüdroloogia	Categoria:Hidrologia
Kategooria:Sündinud 42	Categoria:Nascidos em 42
Kategooria:43	Categoria:43
Kategooria:44	Categoria:44
Kategooria:Vesi	Categoria:Água
Kategooria:Sierra Leone geograafia	Categoria:Geografia da Serra Leoa
Kategooria:Institutsioonid	Categoria:Instituições
Kategooria:Surnud 45	Categoria:Mortos em 45
Kategooria:Agaavilised	Categoria:Agavaceae
Kategooria:47	Categoria:47
Kategooria:48	Categoria:48
Kategooria:Sündinud 50	Categoria:Nascidos em 50
Kategooria:1456	Categoria:1456
Kategooria:1136	Categoria:1136
Kategooria:51	Categoria:51
Kategooria:Sündinud 51	Categoria:Nascidos em 51
Kategooria:Sündinud 53	Categoria:Nascidos em 53
Kategooria:54	Categoria:54
Kategooria:55	Categoria:55
Kategooria:58	Categoria:58
Kategooria:63	Categoria:63
Kategooria:65	Categoria:65
Kategooria:Surnud 65	Categoria:Mortos em 65
Kategooria:67	Categoria:67
Kategooria:Surnud 67	Categoria:Mortos em 67
Kategooria:69	Categoria:69
Kategooria:Surnud 69	Categoria:Mortos em 69
Kategooria:71	Categoria:71
Kategooria:73	Categoria:73
Kategooria:76	Categoria:76
Kategooria:78	Categoria:78
Kategooria:82	Categoria:82
Kategooria:84	Categoria:84
Kategooria:Sündinud 86	Categoria:Nascidos em 86
Kategooria:87	Categoria:87
Kategooria:89	Categoria:89
Kategooria:93	Categoria:93
Kategooria:95	Categoria:95
Kategooria:96	Categoria:96
Kategooria:Surnud 96	Categoria:Mortos em 96
Kategooria:97	Categoria:97
Kategooria:98	Categoria:98
Kategooria:99	Categoria:99
Kategooria:Kukesabalised	Categoria:Lythraceae
Kategooria:101	Categoria:101
Kategooria:103	Categoria:103
Kategooria:106	Categoria:106
Kategooria:109	Categoria:109
Kaasmaatriks	Conjugado transposto
Kategooria:111	Categoria:111
Kategooria:112	Categoria:112
Kategooria:117	Categoria:117
Kategooria:Surnud 117	Categoria:Mortos em 117
Kategooria:120	Categoria:120
Kategooria:Surnud 120	Categoria:Mortos em 120
Kategooria:Sündinud 121	Categoria:Nascidos em 121
Kategooria:122	Categoria:122
Kategooria:123	Categoria:123
Kategooria:Sündinud 126	Categoria:Nascidos em 126
Kategooria:127	Categoria:127
Kategooria:Sündinud 130	Categoria:Nascidos em 130
Kategooria:131	Categoria:131
Kategooria:133	Categoria:133
Kategooria:136	Categoria:136
Kategooria:138	Categoria:138
Kategooria:Surnud 138	Categoria:Mortos em 138
Kategooria:140	Categoria:140
Kategooria:141	Categoria:141
Kategooria:Kaukaasia keeled	Categoria:Línguas caucasianas
Kategooria:143	Categoria:143
Kategooria:145	Categoria:145
Kategooria:Sündinud 146	Categoria:Nascidos em 146
Kategooria:147	Categoria:147
Kategooria:Surnud 147	Categoria:Mortos em 147
Kategooria:149	Categoria:149
Kategooria:151	Categoria:151
Kategooria:153	Categoria:153
Mall:Kvantmehaanika	Predefinição:Mecânica quântica
Kategooria:Sündinud 154	Categoria:Nascidos em 154
Kategooria:155	Categoria:155
Kategooria:Surnud 155	Categoria:Mortos em 155
Kategooria:158	Categoria:158
Kategooria:Somaalia geograafia	Categoria:Geografia da Somália
Kategooria:159	Categoria:159
Kategooria:Sündinud 1588	Categoria:Nascidos em 1588
Kategooria:161	Categoria:161
Kategooria:Surnud 1679	Categoria:Mortos em 1679
Kategooria:Surnud 161	Categoria:Mortos em 161
Kategooria:Surnud 1768	Categoria:Mortos em 1768
Kategooria:Surnud 1682	Categoria:Mortos em 1682
Kategooria:Sündinud 1604	Categoria:Nascidos em 1604
Kategooria:164	Categoria:164
Kategooria:Surnud 1059	Categoria:Mortos em 1059
Kategooria:Jugapuulised	Categoria:Taxaceae
Kategooria:Sündinud 165	Categoria:Nascidos em 165
Kategooria:Seebipuulaadsed	Categoria:Sapindales
Kategooria:Eebenipuulised	Categoria:Ebenaceae
Kategooria:166	Categoria:166
Kategooria:Kibuvits	Categoria:Rosas
Kategooria:1604	Categoria:1604
Kategooria:168	Categoria:168
Kategooria:Paradiisilindlased	Categoria:Paradisaeidae
Kategooria:Surnud 169	Categoria:Mortos em 169
Kategooria:Sündinud 170	Categoria:Nascidos em 170
Kategooria:171	Categoria:171
Kategooria:Slovakkia maakonnad	Categoria:Regiões da Eslováquia
Kategooria:Sündinud 172	Categoria:Nascidos em 172
Kategooria:1000	Categoria:1000
Kategooria:173	Categoria:173
Kategooria:175	Categoria:175
Kategooria:Sündinud 175	Categoria:Nascidos em 175
Kategooria:176	Categoria:176
Mall:POR	Predefinição:Portugal
Mall:Sahha ulussid	Predefinição:Subdivisões da Iacútia
Kategooria:180	Categoria:180
Kategooria:Surnud 180	Categoria:Mortos em 180
Kategooria:Sündinud 182	Categoria:Nascidos em 182
Kategooria:184	Categoria:184
Kategooria:186	Categoria:186
Kategooria:188	Categoria:188
Kategooria:Sündinud 189	Categoria:Nascidos em 189
Kategooria:190	Categoria:190
Kategooria:Sündinud 191	Categoria:Nascidos em 191
Kategooria:192	Categoria:192
Kategooria:Surnud 192	Categoria:Mortos em 192
Kategooria:Kiskjalised	Categoria:Carnívoros
Kategooria:194	Categoria:194
Kategooria:Sündinud 195	Categoria:Nascidos em 195
Kategooria:196	Categoria:196
Kategooria:Surnud 197	Categoria:Mortos em 197
Kategooria:Sündinud 198	Categoria:Nascidos em 198
Kategooria:199	Categoria:199
Kategooria:Surnud 199	Categoria:Mortos em 199
Kategooria:Sündinud 200	Categoria:Nascidos em 200
Kategooria:201	Categoria:201
Kategooria:Sündinud 202	Categoria:Nascidos em 202
Kategooria:203	Categoria:203
Kategooria:Sündinud 203	Categoria:Nascidos em 203
Kategooria:204	Categoria:204
Kategooria:Sündinud 205	Categoria:Nascidos em 205
Kategooria:Sündinud 206	Categoria:Nascidos em 206
Kategooria:207	Categoria:207
Kategooria:Sündinud 208	Categoria:Nascidos em 208
Kategooria:209	Categoria:209
Kategooria:Sündinud 210	Categoria:Nascidos em 210
Kategooria:211	Categoria:211
Kategooria:Surnud 211	Categoria:Mortos em 211
Kategooria:Sündinud 212	Categoria:Nascidos em 212
Kategooria:213	Categoria:213
Kategooria:Sündinud 214	Categoria:Nascidos em 214
Kategooria:215	Categoria:215
Kategooria:216	Categoria:216
Kategooria:Sündinud 216	Categoria:Nascidos em 216
Kategooria:217	Categoria:217
Kategooria:Surnud 217	Categoria:Mortos em 217
Kategooria:218	Categoria:218
Kategooria:Surnud 218	Categoria:Mortos em 218
Kategooria:Sündinud 219	Categoria:Nascidos em 219
Kategooria:220	Categoria:220
Kategooria:Surnud 220	Categoria:Mortos em 220
Kategooria:222	Categoria:222
Kategooria:Surnud 222	Categoria:Mortos em 222
Kategooria:224	Categoria:224
Kategooria:225	Categoria:225
Kategooria:226	Categoria:226
Kategooria:228	Categoria:228
Kategooria:Surnud 228	Categoria:Mortos em 228
Kategooria:229	Categoria:229
Kategooria:231	Categoria:231
Kategooria:Sündinud 232	Categoria:Nascidos em 232
Kategooria:233	Categoria:233
Kategooria:10	Categoria:10
Kategooria:100	Categoria:100
Kategooria:235	Categoria:235
Kategooria:Surnud 235	Categoria:Mortos em 235
Kategooria:1001	Categoria:1001
Kategooria:237	Categoria:237
Kategooria:1002	Categoria:1002
Kategooria:IEEE	Categoria:IEEE
Kategooria:239	Categoria:239
Kategooria:1003	Categoria:1003
Kategooria:1004	Categoria:1004
Kategooria:242	Categoria:242
Kategooria:1005	Categoria:1005
Kategooria:1006	Categoria:1006
Kategooria:244	Categoria:244
Kategooria:Luksemburgi filmid	Categoria:Filmes de Luxemburgo
Kategooria:245	Categoria:245
Kategooria:1007	Categoria:1007
Kategooria:Lady Gaga	Categoria:Lady Gaga
Kategooria:247	Categoria:247
Kategooria:1008	Categoria:1008
Kategooria:1009	Categoria:1009
Kategooria:249	Categoria:249
Kategooria:250	Categoria:250
Kategooria:Surnud 250	Categoria:Mortos em 250
Kategooria:Sündinud 251	Categoria:Nascidos em 251
Kategooria:Rästiklased	Categoria:Viperidae
Kategooria:252	Categoria:252
Kategooria:Sündinud 252	Categoria:Nascidos em 252
Kategooria:253	Categoria:253
Kategooria:Surnud 253	Categoria:Mortos em 253
Kategooria:Sündinud 254	Categoria:Nascidos em 254
Kategooria:Väljamõeldud paigad	Categoria:Lugares fictícios
Kategooria:Inglismaa muusikud	Categoria:Músicos da Inglaterra
Kategooria:255	Categoria:255
Kategooria:Surnud 255	Categoria:Mortos em 255
Kategooria:Sündinud 256	Categoria:Nascidos em 256
Kategooria:257	Categoria:257
Kategooria:Surnud 257	Categoria:Mortos em 257
Kategooria:Sündinud 258	Categoria:Nascidos em 258
Kategooria:259	Categoria:259
Vikipeedia:Raamatud	Wikipédia:Livros
Kategooria:Surnud 259	Categoria:Mortos em 259
Kategooria:261	Categoria:261
Kategooria:Surnud 261	Categoria:Mortos em 261
Kategooria:262	Categoria:262
Kategooria:263	Categoria:263
Kategooria:Surnud 263	Categoria:Mortos em 263
Kategooria:264	Categoria:264
Kategooria:Surnud 264	Categoria:Mortos em 264
Kategooria:Sündinud 265	Categoria:Nascidos em 265
Kategooria:266	Categoria:266
Kategooria:Surnud 266	Categoria:Mortos em 266
Kategooria:268	Categoria:268
Kategooria:Surnud 268	Categoria:Mortos em 268
Kategooria:270	Categoria:270
Kategooria:Surnud 270	Categoria:Mortos em 270
Kategooria:Sündinud 271	Categoria:Nascidos em 271
Kategooria:272	Categoria:272
Kategooria:Surnud 272	Categoria:Mortos em 272
Kategooria:Sündinud 273	Categoria:Nascidos em 273
Kategooria:274	Categoria:274
Kategooria:Surnud 274	Categoria:Mortos em 274
Kategooria:Bergen	Categoria:Bergen
Kategooria:Kirikud	Categoria:Igrejas
Kategooria:Sündinud 275	Categoria:Nascidos em 275
Kategooria:276	Categoria:276
Kategooria:Surnud 276	Categoria:Mortos em 276
Kategooria:Sündinud 277	Categoria:Nascidos em 277
Kategooria:278	Categoria:278
Kategooria:Surnud 278	Categoria:Mortos em 278
Kategooria:Sündinud 279	Categoria:Nascidos em 279
Kategooria:280	Categoria:280
Kategooria:281	Categoria:281
Kategooria:283	Categoria:283
Kategooria:Surnud 283	Categoria:Mortos em 283
Kategooria:Läti rahvuspargid	Categoria:Parques nacionais da Letônia
Kategooria:285	Categoria:285
Kategooria:Surnud 285	Categoria:Mortos em 285
Kategooria:287	Categoria:287
Kategooria:289	Categoria:289
Kategooria:292	Categoria:292
Kategooria:Tšiili provintsid	Categoria:Províncias do Chile
Kategooria:Koorid	Categoria:Coros
Kategooria:294	Categoria:294
Kategooria:295	Categoria:295
Kategooria:297	Categoria:297
Kategooria:Sündinud 298	Categoria:Nascidos em 298
Kategooria:300	Categoria:300
Kategooria:302	Categoria:302
Kategooria:Türgi jalgpalliklubid	Categoria:Clubes de futebol da Turquia
Kategooria:Surnud 303	Categoria:Mortos em 303
Kategooria:305	Categoria:305
Kategooria:306	Categoria:306
Kategooria:Surnud 306	Categoria:Mortos em 306
Kategooria:1072	Categoria:1072
Kategooria:309	Categoria:309
Kategooria:Surnud 1375	Categoria:Mortos em 1375
Kategooria:Surnud 309	Categoria:Mortos em 309
Kategooria:Mälu	Categoria:Memória
Kategooria:1374	Categoria:1374
Kategooria:311	Categoria:311
Kategooria:636	Categoria:636
Kategooria:Surnud 311	Categoria:Mortos em 311
Kategooria:313	Categoria:313
Kategooria:Joogid	Categoria:Bebidas
Kategooria:Surnud 313	Categoria:Mortos em 313
Kategooria:315	Categoria:315
Kategooria:Surnud 315	Categoria:Mortos em 315
Kategooria:Sündinud 316	Categoria:Nascidos em 316
Kategooria:Surnud 1321	Categoria:Mortos em 1321
Kategooria:317	Categoria:317
Kategooria:Surnud 317	Categoria:Mortos em 317
Kategooria:318	Categoria:318
Kategooria:Surnud 318	Categoria:Mortos em 318
Kategooria:Taani poliitikud	Categoria:Políticos da Dinamarca
Kategooria:320	Categoria:320
Kategooria:Sündinud 321	Categoria:Nascidos em 321
Kategooria:322	Categoria:322
Kategooria:Palmilised	Categoria:Arecaceae
Kategooria:324	Categoria:324
Kategooria:2013. aasta albumid	Categoria:Álbuns de 2013
Kategooria:325	Categoria:325
Kategooria:326	Categoria:326
Kategooria:327	Categoria:327
Kategooria:329	Categoria:329
Kategooria:331	Categoria:331
Kategooria:Zooloogia	Categoria:Zoologia
Kategooria:332	Categoria:332
Kategooria:1127	Categoria:1127
Kategooria:334	Categoria:334
Kategooria:336	Categoria:336
Kategooria:338	Categoria:338
Kategooria:341	Categoria:341
Kategooria:342	Categoria:342
Kategooria:Surnud 11. sajandil	Categoria:Mortos no século XI
Kategooria:344	Categoria:344
Vikipeedia:Kõige suurema arvuga intervikilinkidega puuduvad artiklid	Wikipédia:Common Interwiki links
Kategooria:Tadžikistani geograafia	Categoria:Geografia do Tajiquistão
Kategooria:346	Categoria:346
Kategooria:Sündinud 347	Categoria:Nascidos em 347
Kategooria:349	Categoria:349
Kategooria:Nièvre'i departemang	Categoria:Nièvre
Kategooria:Surnud 350	Categoria:Mortos em 350
Kategooria:351	Categoria:351
Kategooria:352	Categoria:352
Kategooria:354	Categoria:354
Kategooria:357	Categoria:357
Kategooria:359	Categoria:359
Kategooria:362	Categoria:362
Kategooria:363	Categoria:363
Kategooria:Surnud 363	Categoria:Mortos em 363
Kategooria:365	Categoria:365
Kategooria:366	Categoria:366
Kategooria:Surnud 366	Categoria:Mortos em 366
Kategooria:368	Categoria:368
Kategooria:369	Categoria:369
Kategooria:371	Categoria:371
Kategooria:374	Categoria:374
Kategooria:375	Categoria:375
Kategooria:Surnud 375	Categoria:Mortos em 375
Kategooria:377	Categoria:377
Kategooria:379	Categoria:379
Kategooria:382	Categoria:382
Kategooria:383	Categoria:383
Kategooria:Sündinud 384	Categoria:Nascidos em 384
Kategooria:Surnud 1652	Categoria:Mortos em 1652
Kategooria:385	Categoria:385
Kategooria:Surnud 1657	Categoria:Mortos em 1657
Kategooria:Surnud 2005	Categoria:Mortos em 2005
Kategooria:Lõuna-Aafrika Vabariigi mäestikud	Categoria:Cordilheiras da África do Sul
Kategooria:387	Categoria:387
Mall:Infokast asula/lengthdisp	Predefinição:Lengthdisp
Kategooria:389	Categoria:389
Kategooria:391	Categoria:391
Kategooria:Sündinud 392	Categoria:Nascidos em 392
Kategooria:Diferentsiaalvõrrandid	Categoria:Equações diferenciais
Kategooria:User nn-1	Categoria:Usuário nn-1
Kategooria:393	Categoria:393
Kategooria:395	Categoria:395
Kategooria:Surnud 395	Categoria:Mortos em 395
Kategooria:Sündinud 1983	Categoria:Nascidos em 1983
Kategooria:397	Categoria:397
Kategooria:Surnud 397	Categoria:Mortos em 397
Kategooria:Märtrid	Categoria:Mártires
Kategooria:399	Categoria:399
Kategooria:Sündinud 1617	Categoria:Nascidos em 1617
Kategooria:Surnud 399	Categoria:Mortos em 399
Kategooria:401	Categoria:401
Kategooria:Surnud 401	Categoria:Mortos em 401
Kategooria:403	Categoria:403
Kategooria:405	Categoria:405
Kategooria:Krasnojarski krai linnad	Categoria:Cidades do krai de Krasnoiarsk
Kategooria:407	Categoria:407
Kategooria:409	Categoria:409
Kategooria:411	Categoria:411
Kategooria:413	Categoria:413
Kategooria:414	Categoria:414
Kategooria:416	Categoria:416
Kategooria:Surnud 1236	Categoria:Mortos em 1236
Kategooria:418	Categoria:418
Kategooria:Surnud 418	Categoria:Mortos em 418
Kategooria:Sündinud 419	Categoria:Nascidos em 419
Kategooria:420	Categoria:420
Kategooria:Surnud 420	Categoria:Mortos em 420
Kategooria:422	Categoria:422
Kategooria:423	Categoria:423
Kategooria:Surnud 423	Categoria:Mortos em 423
Kategooria:Surnud 547	Categoria:Mortos em 547
Kategooria:425	Categoria:425
Kategooria:Surnud 1592	Categoria:Mortos em 1592
Kategooria:Surnud 425	Categoria:Mortos em 425
Kategooria:Poola jalgpallurid	Categoria:Futebolistas da Polônia
Kategooria:Bhutani ringkonnad	Categoria:Distritos do Butão
Kategooria:427	Categoria:427
Kategooria:Surnud 427	Categoria:Mortos em 427
Kategooria:Šveitsi kantonid	Categoria:Cantões da Suíça
Kategooria:Deep Purple	Categoria:Deep Purple
Kategooria:Surnud 428	Categoria:Mortos em 428
My Little World	My Little World
Kategooria:Armeenia poliitikud	Categoria:Políticos da Arménia
Kategooria:Sündinud 430	Categoria:Nascidos em 430
Kategooria:431	Categoria:431
Kategooria:432	Categoria:432
Kategooria:Surnud 432	Categoria:Mortos em 432
Kategooria:434	Categoria:434
Kategooria:Sündinud 435	Categoria:Nascidos em 435
Kategooria:436	Categoria:436
Kategooria:440	Categoria:440
Kategooria:La Rioja	Categoria:La Rioja
Kategooria:Surnud 440	Categoria:Mortos em 440
Kategooria:Kambodža provintsid	Categoria:Províncias do Camboja
Kategooria:442	Categoria:442
Kategooria:444	Categoria:444
Kategooria:1979. aasta muusikas	Categoria:1979 na música
Kategooria:446	Categoria:446
Kategooria:448	Categoria:448
Kategooria:450	Categoria:450
Kategooria:Surnud 450	Categoria:Mortos em 450
Kategooria:452	Categoria:452
Kategooria:454	Categoria:454
Kategooria:Surnud 454	Categoria:Mortos em 454
Kategooria:456	Categoria:456
Kategooria:458	Categoria:458
Kategooria:460	Categoria:460
Kategooria:Hollandi ettevõtted	Categoria:Empresas dos Países Baixos
Kategooria:461	Categoria:461
Kategooria:Surnud 461	Categoria:Mortos em 461
Kategooria:463	Categoria:463
Kategooria:465	Categoria:465
Kategooria:Sündinud 466	Categoria:Nascidos em 466
Kategooria:467	Categoria:467
Kategooria:469	Categoria:469
Kategooria:471	Categoria:471
Kategooria:472	Categoria:472
Kategooria:474	Categoria:474
Kategooria:Surnud 474	Categoria:Mortos em 474
Kategooria:476	Categoria:476
Kategooria:478	Categoria:478
Kategooria:480	Categoria:480
Kategooria:Surnud 480	Categoria:Mortos em 480
Kategooria:482	Categoria:482
Kategooria:483	Categoria:483
Kategooria:Surnud 483	Categoria:Mortos em 483
Kategooria:486	Categoria:486
Kategooria:487	Categoria:487
Kategooria:489	Categoria:489
Kategooria:491	Categoria:491
Kategooria:Surnud 491	Categoria:Mortos em 491
Kategooria:493	Categoria:493
Kategooria:Surnud 493	Categoria:Mortos em 493
Kategooria:495	Categoria:495
Kategooria:497	Categoria:497
Kategooria:499	Categoria:499
Kategooria:Surnud 1991	Categoria:Mortos em 1991
Kategooria:Surnud 1992	Categoria:Mortos em 1992
Kategooria:500	Categoria:500
Kategooria:502	Categoria:502
Kategooria:504	Categoria:504
Kategooria:505	Categoria:505
Kategooria:Surnud 506	Categoria:Mortos em 506
Kategooria:Kasakad	Categoria:Cossacos
Kategooria:508	Categoria:508
Kategooria:510	Categoria:510
Kategooria:512	Categoria:512
Kategooria:514	Categoria:514
Kategooria:Surnud 514	Categoria:Mortos em 514
Kategooria:516	Categoria:516
Kategooria:518	Categoria:518
Kategooria:Surnud 518	Categoria:Mortos em 518
Kategooria:519	Categoria:519
Kategooria:521	Categoria:521
Kategooria:522	Categoria:522
Kategooria:524	Categoria:524
Kategooria:526	Categoria:526
Kategooria:Surnud 526	Categoria:Mortos em 526
Kategooria:528	Categoria:528
Kategooria:Sündinud 1992	Categoria:Nascidos em 1992
Kategooria:530	Categoria:530
Kategooria:531	Categoria:531
Kategooria:533	Categoria:533
Kategooria:Surnud 535	Categoria:Mortos em 535
Kategooria:Surnud 536	Categoria:Mortos em 536
Kategooria:538	Categoria:538
Kategooria:540	Categoria:540
Kategooria:542	Categoria:542
Kategooria:544	Categoria:544
Kategooria:546	Categoria:546
Kategooria:548	Categoria:548
Kategooria:550	Categoria:550
Kategooria:552	Categoria:552
Kategooria:555	Categoria:555
Kategooria:Surnud 555	Categoria:Mortos em 555
Kategooria:557	Categoria:557
Kategooria:559	Categoria:559
Portaal:Jalgpall	Portal:Futebol
Kategooria:561	Categoria:561
Kategooria:Surnud 561	Categoria:Mortos em 561
Kategooria:563	Categoria:563
Kategooria:565	Categoria:565
Kategooria:Surnud 565	Categoria:Mortos em 565
Kategooria:567	Categoria:567
Kategooria:569	Categoria:569
Kategooria:570	Categoria:570
Kategooria:572	Categoria:572
Kategooria:Sündinud 573	Categoria:Nascidos em 573
Kategooria:574	Categoria:574
Kategooria:Surnud 574	Categoria:Mortos em 574
Kategooria:577	Categoria:577
Kategooria:579	Categoria:579
Kategooria:Surnud 579	Categoria:Mortos em 579
Kategooria:581	Categoria:581
Kategooria:583	Categoria:583
Kategooria:Sündinud 584	Categoria:Nascidos em 584
Kategooria:586	Categoria:586
Kategooria:588	Categoria:588
Kategooria:590	Categoria:590
Kategooria:Surnud 590	Categoria:Mortos em 590
Kategooria:593	Categoria:593
Kategooria:595	Categoria:595
Kategooria:597	Categoria:597
Kategooria:600	Categoria:600
Kategooria:602	Categoria:602
Kategooria:606	Categoria:606
Kategooria:Surnud 606	Categoria:Mortos em 606
Kategooria:608	Categoria:608
Kategooria:610	Categoria:610
Kategooria:612	Categoria:612
Kategooria:614	Categoria:614
Kategooria:616	Categoria:616
Kategooria:618	Categoria:618
Kategooria:619	Categoria:619
Kategooria:620	Categoria:620
Kategooria:622	Categoria:622
Kategooria:624	Categoria:624
Kategooria:Sündinud 625	Categoria:Nascidos em 625
Kategooria:626	Categoria:626
Kategooria:627	Categoria:627
Kategooria:Surnud 1907	Categoria:Mortos em 1907
Kategooria:629	Categoria:629
Kategooria:631	Categoria:631
Kategooria:Sündinud 1970	Categoria:Nascidos em 1970
Kategooria:Surnud 1980	Categoria:Mortos em 1980
Kategooria:Surnud 2008	Categoria:Mortos em 2008
Kategooria:633	Categoria:633
Kategooria:Surnud 1986	Categoria:Mortos em 1986
Kategooria:Surnud 1966	Categoria:Mortos em 1966
Kategooria:Surnud 1946	Categoria:Mortos em 1946
Kategooria:Surnud 1938	Categoria:Mortos em 1938
Kategooria:Sündinud 1984	Categoria:Nascidos em 1984
Kategooria:637	Categoria:637
Kategooria:Surnud 1962	Categoria:Mortos em 1962
Kategooria:Surnud 1959	Categoria:Mortos em 1959
Kategooria:Surnud 1943	Categoria:Mortos em 1943
Kategooria:639	Categoria:639
Kategooria:Sündinud 1990	Categoria:Nascidos em 1990
Kategooria:Surnud 639	Categoria:Mortos em 639
Kategooria:Surnud 1934	Categoria:Mortos em 1934
Kategooria:Surnud 1949	Categoria:Mortos em 1949
Kategooria:641	Categoria:641
Kategooria:Surnud 641	Categoria:Mortos em 641
Kategooria:Sündinud 1974	Categoria:Nascidos em 1974
Kategooria:642	Categoria:642
Kategooria:Surnud 1947	Categoria:Mortos em 1947
Kategooria:Surnud 1911	Categoria:Mortos em 1911
Kategooria:643	Categoria:643
Kategooria:Surnud 1903	Categoria:Mortos em 1903
Kategooria:Mehhiko sportlased	Categoria:Desportistas do México
Kategooria:645	Categoria:645
Kategooria:Surnud 2007	Categoria:Mortos em 2007
Kategooria:Sündinud 646	Categoria:Nascidos em 646
Kategooria:647	Categoria:647
Kategooria:Sündinud 1965	Categoria:Nascidos em 1965
Kategooria:Sündinud 1940	Categoria:Nascidos em 1940
Kategooria:Sündinud 1898	Categoria:Nascidos em 1898
Kategooria:Sündinud 1863	Categoria:Nascidos em 1863
Kategooria:649	Categoria:649
Kategooria:Sündinud 1867	Categoria:Nascidos em 1867
Kategooria:Surnud 649	Categoria:Mortos em 649
Kategooria:Sündinud 1871	Categoria:Nascidos em 1871
Kategooria:Sündinud 1862	Categoria:Nascidos em 1862
Kategooria:Sport riigiti	Categoria:Desporto por país
Kategooria:651	Categoria:651
Kategooria:Sündinud 1977	Categoria:Nascidos em 1977
Kategooria:1845	Categoria:1845
Kategooria:Sündinud 1899	Categoria:Nascidos em 1899
Kategooria:653	Categoria:653
Kategooria:1844	Categoria:1844
Kategooria:Surnud 653	Categoria:Mortos em 653
Kategooria:655	Categoria:655
Kategooria:Surnud 655	Categoria:Mortos em 655
Kategooria:Nõukogude Liidu autasud	Categoria:Prêmios da União Soviética
Kategooria:657	Categoria:657
Kategooria:Oklahoma	Categoria:Oklahoma
Kategooria:Surnud 657	Categoria:Mortos em 657
Kategooria:659	Categoria:659
Kategooria:662	Categoria:662
Kategooria:Sündinud 1931	Categoria:Nascidos em 1931
