ئافرىقا	África
ۋىكىپېدىيە:ھۆججەت ئىشلىتىش پىرىنسىپى	Wikipédia:Política de imagens
قېلىپ:Infobox City Japan	Predefinição:Info/Cidade do Japão
تۈر:ۋىتامىنلار	Categoria:Vitaminas
قېلىپ:User ru-1	Predefinição:User ru-1
قېلىپ:User tr-1	Predefinição:User tr-1
قېلىپ:User tr-3	Predefinição:User tr-3
قېلىپ:User uz	Predefinição:User uz
قېلىپ:User zh-1	Predefinição:User zh-1
قېلىپ:User zh-2	Predefinição:User zh-2
قېلىپ:User zh-3	Predefinição:User zh-3
تۈر:User zh-1	Categoria:Usuário zh-1
تۈر:User zh-3	Categoria:Usuário zh-3
تۈر:User zh-2	Categoria:Usuário zh-2
تۈر:خىمىيىۋى ئېلېمېنت	Categoria:Elementos químicos
تۈر:لېكسىكولوگىيە	Categoria:Lexicologia
تۈر:ئۆزبېكىستان	Categoria:Uzbequistão
تۈر:جەمئىيەت مەسلىسى	Categoria:Questões sociais
تۈر:ئاتوم يادرو فىزىكىسى	Categoria:Física nuclear
ئەينەك تالا	Plástico com reforço de fibra de vidro
سەۋزە	Cenoura
تۈر:جۇڭخۇا خەلق جۇمھۇرىيىتى	Categoria:República Popular da China
تۈر:ئېتمولوگىيە	Categoria:Etimologias
قېلىپ:Flag	Predefinição:Flag
قېلىپ:User mn-1	Predefinição:User mn-1
قېلىپ:UF-hcard-geo	Predefinição:UF-hcard-geo
تۈر:بىيولوگ	Categoria:Biólogos
تراگۇلۇس بۇغىسى	Tragulidae
تۈر:خاس ئات ئىلمى	Categoria:Onomástica
تۈر:مەسلە	Categoria:Problemas
تۈر:User en-1	Categoria:Usuário en-1
تۈر:User de-1	Categoria:Usuário de-1
قېلىپ:ئانتروپوتومىيە	Predefinição:Características anatômicas humanas
تاش	Roche
خوتەن شەھىرى	Hotan
ئالاھىدە:RecentChanges	Especial:Mudanças recentes
غاز	Ganso
