Yn Affrick	África
Ronney:Cambridgeshire	Categoria:Cambridgeshire
Ronney:Lhieenteenyn	Categoria:Redes
Ronney:Joughinyn alcoalagh	Categoria:Bebidas alcoólicas
Ronney:Eaddeeyn	Categoria:Vestuário
Ronney:Coondaeghyn Hostyn	Categoria:Condados da Inglaterra
Ronney:Cheshire	Categoria:Cheshire
Ronney:Shanghai	Categoria:Xangai
Ronney:Surrey	Categoria:Surrey
Ronney:Çhaghnoaylleeaght yn-chummalagh	Categoria:Tecnologias sustentáveis
Ronney:Çhaghnoaylleeaght-fysseree	Categoria:Tecnologia da informação
Ronney:Jeeaghys	Categoria:Teísmo
Ronney:Stooghyn kirpey	Categoria:Tecidos
Ronney:Bedfordshire	Categoria:Bedfordshire
Ronney:Lhune	Categoria:Cerveja
Ronney:Yn Velaneesh	Categoria:Melanésia
Ronney:Preeu-valjyn	Categoria:Capitais
Ronney:Commyoonyn ayns Nord (rheynn ny Frank)	Categoria:Comunas do departamento de Nord
Ronney:Commyoonyn ayns Pas-de-Calais	Categoria:Comunas do departamento de Pas-de-Calais
Ronney:Commyoonyn ayns Eure	Categoria:Comunas do departamento de Eure
Ronney:Caayryn as baljyn ayns Norlynn	Categoria:Cidades da Noruega
Ronney:Buill chummaltagh 'sy Pharaguay	Categoria:Localidades do Paraguai
Ronney:Caayryn ayns Pobblaght ny Massadoan	Categoria:Cidades da República da Macedónia
Ronney:Caayryn 'sy Latvey	Categoria:Cidades da Letónia
Ronney:Buill chummaltagh 'syn Austeyr	Categoria:Cidades da Áustria
Ronney:Caayryn 'syn Elveeish	Categoria:Cidades da Suíça
Ronney:Caayryn as baljyn 'sy Roosh	Categoria:Cidades da Rússia
Ronney:Caayryn as baljyn 'syn Estaan	Categoria:Cidades da Estónia
Ronney:Caayryn 'sy Chanadey	Categoria:Cidades do Canadá
Ronney:Acer	Categoria:Acer
Ronney:Towse-oaylleeaght Euclidagh	Categoria:Geometria euclidiana
Ronney:Soe	Categoria:Metabolismo
Ronney:Sussex Heear	Categoria:West Sussex
Ronney:Veen	Categoria:Viena
Ronney:Caayryn seyrey impiroil	Categoria:Cidades imperiais livres
Ronney:Corocklyn	Categoria:Consoantes
Ronney:Essex	Categoria:Essex
Ronney:Yn Aishey Heear Yiass	Categoria:Sudoeste Asiático
Ronney:Yn Aishey Veanagh	Categoria:Ásia Central
Ronney:Yn Aishey Hiar Yiass	Categoria:Sueste asiático
Ronney:Çhengaghyn Turkagh	Categoria:Línguas turcomanas
Ronney:Boodeeys Madrid	Categoria:Comunidade autónoma de Madrid
Ronney:Lazio	Categoria:Lácio
Ronney:Lancashire	Categoria:Lancashire
Ronney:King çheerey	Categoria:Cabos
Ronney:Farraneyn sollysh	Categoria:Fontes de luz
Ronney:Hampshire	Categoria:Hampshire
Ronney:Bun-troggalys	Categoria:Infraestrutura
Ronney:Torah	Categoria:Torá
Ronney:Shenndaaleeaght	Categoria:Arqueologia
Ronney:Protista	Categoria:Protistas
Ronney:Bea-chovreneenyn	Categoria:Biomoléculas
Ronney:Asslayntyn	Categoria:Doenças
Ronney:Gorlaghyn bacteyragh	Categoria:Doenças bacterianas
Ronney:Meainyn	Categoria:Metais
Ronney:Otoaylleeaght	Categoria:Otologia
Ronney:Caayr Ho Chi Minh	Categoria:Cidade de Ho Chi Minh
Ronney:Michael Jackson	Categoria:Michael Jackson
Ronney:Yn Vynneeys	Categoria:Micronésia
Ronney:Hiddragien	Categoria:Hidrogénio
Ronney:Ymmydeyr pl	Categoria:Usuários pl
Ronney:Yn Çhenn-Ghreag	Categoria:Grécia Antiga
Ronney:Gloucestershire	Categoria:Gloucestershire
Ronney:Kied Ashoonyn	Categoria:Primeiras Nações
Ronney:Çhengaghyn Romanagh	Categoria:Línguas românicas
Ronney:Ellanree	Categoria:Arquipélagos
Ronney:Arraghey	Categoria:Transporte
Ronney:Rang-oardraghey oaylleeagh	Categoria:Classificação biológica
Ronney:Co-obbraghey	Categoria:Colaboração
Ronney:Snaue	Categoria:Natação
Ronney:Caghlaa speyr	Categoria:Mudanças climáticas
Ronney:Spoyrtyn rere sorçh	Categoria:Desportos por tipo
Ronney:Bunneeaghtyn ayns ny 1800yn	Categoria:Fundações na década de 1800
Ronney:1000yn	Categoria:Década de 1000
Ronney:1590yn	Categoria:Década de 1590
Ronney:1620yn	Categoria:Década de 1620
Ronney:1600yn	Categoria:Década de 1600
Ronney:1690yn	Categoria:Década de 1690
Ronney:3oo milley bleeaney	Categoria:Terceiro milénio
Ronney:Sorçhyn as aghtyn glare	Categoria:Variação linguística
Ronney:Yn Chorn	Categoria:Cornualha
Ronney:Carboanaaytyn	Categoria:Carbonatos
Ronney:Carboan	Categoria:Carbono
Ronney:Queiggaghyn Nerin	Categoria:Províncias históricas da Irlanda
Ronney:Feer earrooyn	Categoria:Números reais
Ronney:Windows Vista	Categoria:Windows Vista
Ronney:Bea-heeroaylleeaght	Categoria:Biogeografia
Ronney:Bea-oaylleeaght chillag	Categoria:Citologia
Ronney:Shillagon	Categoria:Silício
Ronney:Epistemoaylleeaght	Categoria:Epistemologia
Ronney:Dorset	Categoria:Dorset
Ronney:Co-rollageyssyn	Categoria:Galáxias
Ronney:Pluto	Categoria:Plutão
Ronney:Badlag	Categoria:Vénus
Ronney:Planaidyn neughrianagh	Categoria:Exoplanetas
Ronney:Possanyn as kynneeyn roltageagh	Categoria:Grupos ou famílias de asteroides
Ronney:Rollageyn caghlaaee	Categoria:Estrelas variáveis
Ronney:Çhengaghyn Austraineeshagh	Categoria:Línguas austronésias
Ronney:Resoon	Categoria:Lógica
Ronney:Çhengaghyn Altaiagh	Categoria:Línguas altaicas
Ronney:Çhengaghyn Affro-Aishanagh	Categoria:Línguas afro-asiáticas
Ronney:Yn Antarctagh	Categoria:Antártida
Ronney:America Hwoaie	Categoria:América do Norte
Ronney:Cobbyr	Categoria:Cobre
Ronney:Loghyn sailjey	Categoria:Lagos salgados
Ronney:Loghyn 'syn Aishey	Categoria:Lagos da Ásia
Ronney:Loghyn 'syn Oarpey	Categoria:Lagos da Europa
Ronney:Loghyn	Categoria:Lagos
Ronney:Bratteeyn	Categoria:Bandeiras
Ronney:Bratteeyn Nerin	Categoria:Bandeiras da Irlanda
Ronney:Spoyrteyryn Yernagh	Categoria:Desportistas da Irlanda
Ronney:Bluckaneyryn ayns Sostyn rere club	Categoria:Futebolistas por clubes de futebol da Inglaterra
Clowan:Kishtey fys çhengey	Predefinição:Info/Língua
Ronney:Çhengaghyn Uto-Asteckagh	Categoria:Línguas uto-astecas
Ronney:Yn Faarkeylann	Categoria:Oceania
Clowan:Quickindexnav	Predefinição:Quickindexnav
Ronney:Lossreeyn yn-ee	Categoria:Plantas comestíveis
Ronney:Blaanid ny h-Asserbajaan	Categoria:Flora do Azerbaijão
Ronney:Blaanid rere mooar-rheynn	Categoria:Flora por continente
Ronney:Dooieyn ruegyssagh	Categoria:Espécies invasoras
Ronney:Baljyn 'sy Çheen	Categoria:Cidades da China
Ronney:Possanyn sheshoil	Categoria:Grupos sociais
Ronney:Spoyrtyn ushtey	Categoria:Desportos aquáticos
Ronney:Bunneeaghtyn ayns ny 1940yn	Categoria:Fundações na década de 1940
Ronney:1830yn	Categoria:Década de 1830
Ronney:600yn	Categoria:Década de 600
Ronney:Limburg, y Çheer Injil	Categoria:Limburgo
Ronney:Cluig (traa)	Categoria:Relógios
Ronney:Far-skeealaght	Categoria:Ficção
Ronney:Easyn	Categoria:Quedas de água
Ronney:Eunysseyrys rere çheer	Categoria:Entretenimento por país
Ronney:Buenos Aires	Categoria:Buenos Aires
Ronney:Sleih rere steat 'sy Ghermaan	Categoria:Naturais da Alemanha por estado
Ronney:Deynlaghys	Categoria:Democracia
Ronney:Shennaghys Hostyn	Categoria:História da Inglaterra
Ronney:Yn Ghuatemaley	Categoria:Guatemala
Ronney:Çheeraghyn ny h-Aishey Hiar Yiass	Categoria:Países do Sudeste Asiático
Ronney:Montenegro	Categoria:Montenegro
Ronney:Fallsoonys politickagh	Categoria:Filosofia política
Ronney:Stiureyderyn scannane Americaanagh	Categoria:Cineastas dos Estados Unidos
Ronney:Scannaneyn veih'n vlein 2006	Categoria:Filmes de 2006
Ronney:Dooieyn rere ronney IUCN Red List	Categoria:Espécies por categorias da lista vermelha da IUCN
Ronney:Iddaalish	Categoria:Língua italiana
Ronney:Shenn çhengaghyn	Categoria:Línguas antigas
Ronney:Çhengaghyn ny Sheen	Categoria:Línguas da China
Ronney:Çhengaghyn ny Seelynn Noa	Categoria:Línguas da Nova Zelândia
Ronney:Çhengaghyn ny h-Elveeish	Categoria:Línguas da Suíça
Clowan:Ymmydeyr hsb-3	Predefinição:User hsb-3
Ronney:Ardjyn ny Danvarg	Categoria:Regiões da Dinamarca
Ronney:Çhengaghyn Vontenegro	Categoria:Línguas de Montenegro
Ronney:Çhengaghyn ny Çheer Thai	Categoria:Línguas da Tailândia
Ronney:Çheer-oaylleeaght ny h-Affrick	Categoria:Geografia da África
Ronney:King çheerey ny h-Oarpey	Categoria:Cabos da Europa
Ronney:Yn Keayn Injinagh	Categoria:Oceano Índico
Ronney:Laue	Categoria:Mão
Ronney:Carbid	Categoria:Veículos
Ronney:Yn Oarpey Hwoaie	Categoria:Europa do Norte
Ronney:Oltyn y chorp	Categoria:Membros
Ronney:Coryssyn planaidagh	Categoria:Sistemas planetários
Ronney:Coryssyn politickagh	Categoria:Sistemas políticos
Ronney:Feill-ee	Categoria:Carnivoria
Ronney:Corys soaralagh	Categoria:Sistema olfativo
Ronney:Sarcopterygii	Categoria:Sarcopterygii
Ronney:Bretyn Yiass Noa	Categoria:Nova Gales do Sul
Ronney:Eear-heeraghyn	Categoria:Estados extintos
Ronney:Cluig (greieyn sheeanoil)	Categoria:Sinos
Clowan:Ymmydeyr ga-1	Predefinição:User ga-1
Ronney:Göteborg	Categoria:Gotemburgo
Carradje	Cenoura
Ronney:Poales	Categoria:Poales
Ronney:Araceae	Categoria:Araceae
Ronney:Campanulaceae	Categoria:Campanulaceae
Ronney:Vaduz	Categoria:Vaduz
Ronney:Preeu-valjyn ayns America Hwoaie	Categoria:Capitais da América do Norte
Ronney:G20	Categoria:G20
Ronney:Turrysaght ayns Nerin	Categoria:Turismo na Irlanda
Ronney:Preeu-valjyn ayns America Yiass	Categoria:Capitais da América do Sul
Ronney:Preeu-valjyn ny h-Affrick	Categoria:Capitais da África
Ronney:Ardjyn Norlynn	Categoria:Regiões da Noruega
Ronney:Eaddeeyn rere ashoonaght	Categoria:Vestuário por país
Ronney:Cultoor ny Germaan	Categoria:Cultura da Alemanha
Ronney:Quasaryn	Categoria:Quasares
Ronney:Cultoor ny Veneswaaley	Categoria:Cultura da Venezuela
Ronney:Cultoor ny Butaan	Categoria:Cultura do Butão
Ronney:Cultoor Nerin Hwoaie	Categoria:Cultura da Irlanda do Norte
Ronney:Cultoor ny Brasseel	Categoria:Cultura do Brasil
Ronney:Cultoor San Marino	Categoria:Cultura de San Marino
Ronney:Cultoor ny Spaainey	Categoria:Cultura da Espanha
Ronney:Cultoor Nerin	Categoria:Cultura da Irlanda
Ronney:Cultoor y Reeriaght Unnaneysit	Categoria:Cultura do Reino Unido
Ronney:Cultoor Vretin	Categoria:Cultura do País de Gales
Ronney:Cultoor ny Canadey	Categoria:Cultura do Canadá
Ronney:Cultoor ny Colombey	Categoria:Cultura da Colômbia
Ronney:Cultoor ny Peroo	Categoria:Cultura do Peru
Ronney:Cultoor ny Portiugal	Categoria:Cultura de Portugal
Ronney:Cultoor Finnlynn	Categoria:Cultura da Finlândia
Ronney:Leigh Phobblaght Nerin	Categoria:Direito da Irlanda
Ronney:Sheshaght ny Germaan	Categoria:Sociedade da Alemanha
Ronney:Sheshaght ny h-Iddaal	Categoria:Sociedade da Itália
Ronney:Çhymmyltaght ny Germaan	Categoria:Meio ambiente da Alemanha
Ronney:Kent	Categoria:Kent
Ronney:Caslys-skeealyn	Categoria:Banda desenhada
Ronney:Caayryn 'sy Romaan	Categoria:Cidades da Roménia
Ronney:Caayryn ayns Lucsemburg	Categoria:Cidades de Luxemburgo
Ronney:Caayryn ayns Moldova	Categoria:Cidades da Moldávia
Ronney:Baljyn 'sy Valta	Categoria:Cidades de Malta
Ronney:Caayryn 'sy Vietnam	Categoria:Cidades do Vietname
Ronney:Baljyn 'sy Velg	Categoria:Cidades da Bélgica
Ronney:Caayryn 'sy Vrasseel	Categoria:Municípios do Brasil
Ronney:Baljaghtyn 'sy Spaainey	Categoria:Cidades da Espanha
Ronney:Baljyn 'syn Armeain	Categoria:Cidades da Arménia
Ronney:Skeeraghyn Andorra	Categoria:Paróquias de Andorra
Ronney:Caayryn 'syn Austrail	Categoria:Cidades da Austrália
Ronney:Caayryn 'syn Ookraan	Categoria:Cidades da Ucrânia
Ronney:Fir aitt Hostynagh	Categoria:Humoristas da Inglaterra
Ronney:Caayryn as baljyn 'syn Iddaal	Categoria:Cidades da Itália
Ronney:Caayryn 'sy Tambia	Categoria:Cidades da Zâmbia
Ronney:Buill chummaltagh ayns Kosovo	Categoria:Cidades do Kosovo
Ronney:Sleityn 'sy Ghermaan	Categoria:Montanhas da Alemanha
Ronney:Sleityn as cruink 'sy Reeriaght Unnaneysit	Categoria:Picos do Reino Unido
Ronney:Ellanyn ny h-Eeslynn	Categoria:Ilhas da Islândia
Ronney:Loghyn 'syn Eeslynn	Categoria:Lagos da Islândia
Ronney:Loghyn 'syn Asserbajaan	Categoria:Lagos do Azerbaijão
Ronney:Loghyn 'sy Chassaghstaan	Categoria:Lagos do Cazaquistão
Ronney:Brassicales	Categoria:Brassicales
Ronney:Caayryn 'sy Litaan	Categoria:Cidades da Lituânia
Ronney:Kelkium	Categoria:Cálcio
Ronney:Çheeraghyn y Niar Veanagh	Categoria:Países do Oriente Médio
Ronney:Apiales	Categoria:Apiales
Ronney:Cooatyn	Categoria:Casacos
Ronney:Nalbin	Categoria:Escócia
Ronney:Çhengaghyn ny Litaan	Categoria:Línguas da Lituânia
Ronney:Çhengaghyn Vadagascar	Categoria:Línguas de Madagascar
Ronney:Çhengaghyn Voldova	Categoria:Línguas da Moldávia
Ronney:Çhengaghyn ny Mongoil	Categoria:Línguas da Mongólia
Ronney:Çhengaghyn ny Veneswaaley	Categoria:Línguas da Venezuela
Ronney:Çhengaghyn Nerin Hwoaie	Categoria:Línguas da Irlanda do Norte
Ronney:Çhengaghyn ny Spaainey	Categoria:Línguas da Espanha
Ronney:Çhengaghyn ny h-Armeain	Categoria:Línguas da Armênia
Ronney:Çhengaghyn ny h-Eeslynn	Categoria:Línguas da Islândia
Ronney:Çhengaghyn Nerin	Categoria:Línguas da Irlanda
Ronney:Çhengaghyn ny h-Algear	Categoria:Línguas da Argélia
Ronney:Çhengaghyn Abkhazia	Categoria:Línguas da Abecásia
Ronney:Çhengaghyn y Reeriaght Unnaneysit	Categoria:Línguas do Reino Unido
Ronney:Çhengaghyn ny Shorshey	Categoria:Línguas da Geórgia
Ronney:Çhengaghyn ny Kassaghstaan	Categoria:Línguas do Cazaquistão
Ronney:Çhengaghyn ny Tajikistaan	Categoria:Línguas do Tajiquistão
Ronney:Çhengaghyn ny Tanzania	Categoria:Línguas da Tanzânia
Ronney:Çhengaghyn ny Tooneesh	Categoria:Línguas da Tunísia
Ronney:Bee y Reeriaght Unnaneyssit	Categoria:Culinária do Reino Unido
Ronney:Prashageenyn	Categoria:Calcogênios
Ronney:Shellooderyn oik politickagh rere çheer	Categoria:Titulares de cargos políticos por país
Ronney:Oikyn politickagh	Categoria:Titulares de cargos políticos
Ronney:Cayr Deeth	Categoria:Cardiff
Ronney:Cadmium	Categoria:Cádmio
Ronney:Pinales	Categoria:Pinales
Ronney:Eudicotyn	Categoria:Eudicotiledóneas
Ronney:Germaanium	Categoria:Germânio
Ronney:Yn Vrussyl	Categoria:Bruxelas
Ronney:Preeu-valjyn ny h-Oarpey	Categoria:Capitais da Europa
Ronney:Preeu-valjyn ny h-Aishey	Categoria:Capitais da Ásia
Ronney:Kiare-chassee	Categoria:Tetrápodes
Ronney:Platanaceae	Categoria:Platanaceae
Ronney:Podgorica	Categoria:Podgorica
Ronney:Aarheynnyn çheerey	Categoria:Subdivisões de países
Ronney:Ushtaghyn ny Polynn	Categoria:Corpos de água da Polónia
Ronney:Ushtaghyn ny Frank	Categoria:Corpos de água da França
Ronney:Ushtaghyn ny Spaainey	Categoria:Corpos de água da Espanha
Ronney:Ushtaghyn ny Germaan	Categoria:Corpos de água da Alemanha
Ronney:Malvales	Categoria:Malvales
Ronney:Buill chummaltagh ayns Coontae Västra Götaland	Categoria:Cidades de Västra Götaland
Ronney:Pistacia	Categoria:Pistacia
Ronney:Nerin Hwoaie	Categoria:Irlanda do Norte
Clowan:Çhengaghyn oikoil yn UO	Predefinição:Idiomas oficiais da UE
Ronney:Prishtina	Categoria:Pristina
Ronney:Baljyn beggey rere çheer	Categoria:Aldeias por país
Ronney:Pieris	Categoria:Pieris
Ronney:Papilionidae	Categoria:Papilionidae
Ronney:Providence, Ellan Rhode	Categoria:Providence
Ronney:Inveryn	Categoria:Estuários
Ronney:Fouyr (imbagh)	Categoria:Outono
Ronney:Caayr ny Panamaa	Categoria:Cidade do Panamá
Ronney:Paramaribo	Categoria:Paramaribo
Ronney:Reeriaghtyn bunraghtoil	Categoria:Monarquias constitucionais
Ronney:Yn Phatagoan	Categoria:Patagônia
Ronney:Far-skeealaght scoaghagh	Categoria:Horror
Ronney:Allium	Categoria:Allium
Ronney:Valletta	Categoria:Valeta
Ronney:Çhengaghyn Liechtenstein	Categoria:Línguas de Liechtenstein
Ronney:Çhengaghyn Phobblaght ny Massadoan	Categoria:Línguas da República da Macedônia
Ronney:Çhengaghyn ny Brasseel	Categoria:Línguas do Brasil
Ronney:Çhengaghyn ny h-Albaan	Categoria:Línguas da Albânia
Ronney:Lettyraght Yernagh	Categoria:Literatura da Irlanda
Ronney:H. P. Lovecraft	Categoria:H. P. Lovecraft
Ronney:Ellyneyryn Soolynnagh	Categoria:Artistas da Suécia
Ronney:Ellyneyryn Rooshagh	Categoria:Artistas da Rússia
Ronney:Ellyneyryn Germaanagh	Categoria:Artistas da Alemanha
Ronney:Hailium	Categoria:Hélio
Ronney:Polygonaceae	Categoria:Polygonaceae
Wikipedia:Docamadys clowanyn	Wikipédia:Documentação da predefinição
Ronney:Lefkosia	Categoria:Nicósia
Ronney:Neeobium	Categoria:Nióbio
Ronney:Deynphobblaght ny Sheen	Categoria:República Popular da China
Ronney:Nuuk	Categoria:Nuuk
Ronney:Craueeaghtyn Abrahamagh	Categoria:Religiões abraâmicas
Ronney:Asteridyn	Categoria:Asterídeas
Ronney:Baljyn corpagh moirvaljagh	Categoria:Distritos metropolitanos
Ronney:Fo-phlannadyn	Categoria:Satélites naturais
Ronney:Argid (bunstoo)	Categoria:Prata
Ronney:Clowanyn Wikipedia rere reamys	Categoria:!Predefinições por domínio
Ronney:Abies	Categoria:Abies
Ronney:Scannaneyn rere jeihaght	Categoria:Filmes por década
Ronney:Naoned	Categoria:Nantes
Ronney:Çheer-oaylleeaght ny Rhiney Hwoaie-Westfalen	Categoria:Geografia da Renânia do Norte-Vestfália
Ronney:Cairyn çhengoaylleeagh	Categoria:Direitos linguísticos
Ronney:Slystyn ny Serb	Categoria:Distritos da Sérvia
Ronney:Slystyn rere çheer	Categoria:Distritos por país
Ronney:Aaghlennid hengoaylleeagh	Categoria:Normativismo linguístico
Ronney:Ny Mean Eashyn	Categoria:Idade Média
Ronney:Mishnah	Categoria:Mixná
Ronney:Sleih rere çheer	Categoria:Pessoas por país
Ronney:Parteeyn politickagh 'sy Ghermaan	Categoria:Partidos políticos da Alemanha
Ronney:Çhengaghyn Ind-Eeraanagh	Categoria:Línguas indo-iranianas
Ronney:Commyoonyn rere çheer	Categoria:Comunas por país
Ronney:Shirganeyn	Categoria:Múmias
Ronney:Cantoonyn Lucsemburg	Categoria:Cantões de Luxemburgo
Çhiass-chondughtaght	Condução térmica
Ronney:Arraghey 'syn Oarpey	Categoria:Transportes da Europa
Ronney:Cantoon Lucsemburg	Categoria:Cantão de Luxemburgo
Ronney:Ranunculales	Categoria:Ranunculales
Ronney:Oaylleeaghtyn formoil	Categoria:Ciências formais
Ronney:Shennaghys ny Frank rere eash	Categoria:História da França por período
Ronney:Manganaish	Categoria:Manganês
Ronney:Rollaghyn bentyn rish oaylleeaght	Categoria:Listas de ciências
Ronney:Ellynyn jesheenagh	Categoria:Artes decorativas
Ronney:Buill chummaltagh ayns Steat Paraná	Categoria:Municípios do Paraná
Ronney:Buill chummaltagh ayns Liechtenstein	Categoria:Assentamentos em Liechtenstein
Ronney:Karracteyryn çhellveeish	Categoria:Personagens de séries de televisão
Ronney:Buill chummaltagh ayns Bosnia as Herzegovina	Categoria:Assentamentos na Bósnia e Herzegovina
Ronney:Ardjyn rheynnit	Categoria:Regiões divididas
Ronney:Caayr Lucsemburg	Categoria:Luxemburgo (cidade)
Ronney:Reykjavík	Categoria:Reykjavík
Clowan:Lang-hsb	Predefinição:Lang-hsb
Ronney:Araucariaceae	Categoria:Araucariaceae
Ronney:Buill	Categoria:Lugares
Ronney:Feaillaghyn rere çheer	Categoria:Festivais por país
Ronney:Merseyside	Categoria:Merseyside
Ronney:Buill hurryssagh ayns Nerin	Categoria:Atrações turísticas da Irlanda
Ronney:Çhymmyltaght ny h-Albey	Categoria:Meio ambiente da Escócia
Ronney:Nabooyssyn ayns Los Angeles, California	Categoria:Bairros de Los Angeles
Ronney:Cummal reiht Wikipedia	Categoria:!Conteúdo destacado
Ronney:Slystyn Voldova	Categoria:Distritos da Moldávia
Ronney:Chișinău	Categoria:Chișinău
Ronney:Brasília	Categoria:Brasília
Ronney:Asparagus	Categoria:Asparagus
Ronney:Ljouwert	Categoria:Leeuwarden
Ronney:Queiggey Lion	Categoria:Leinster
Ronney:Lille	Categoria:Lille
Ronney:Leeds	Categoria:Leeds
Ronney:Fo-eaddagh ben	Categoria:Lingerie
Ronney:Eaddeeyn rere sorçh	Categoria:Vestuários por tipo
Clowan:Ymmydeyr sl-1	Predefinição:User sl-1
Ronney:Cowraghyn ashoonagh ny Polynn	Categoria:Símbolos da Polônia
Clowan:Lang-ga	Predefinição:Lang-ga
Ronney:Keayn y Jiass	Categoria:Oceano Antártico
Ronney:Theater ayns Nerin	Categoria:Teatro da Irlanda
Ronney:Ard-obbrinys Yernagh	Categoria:Arquitetura da Irlanda
Ronney:Thieyn as strughtooryn ayns Pobblaght Nerin	Categoria:Construções da República da Irlanda
Ronney:Thieyn as strughtooryn 'sy Reeriaght Unnaneysit	Categoria:Construções do Reino Unido
Ronney:Aghteyryn çhellveeish Goaldagh	Categoria:Atores de televisão do Reino Unido
Ronney:Coonseilyn ynnydagh ny Malta	Categoria:Conselhos locais de Malta
Ronney:Lioarlanneeyn rere ashoonaght	Categoria:Bibliotecários por país
Ronney:Brabant	Categoria:Brabante
Clowan:Col-4	Predefinição:Col-4
Clowan:Teks Arabagh	Predefinição:Contém texto em árabe
Clowan:Caslys ny Corn	Predefinição:Mapa das povoações da Cornualha
Ronney:Kishtaghyn fys oaylleeaght as najoor	Categoria:!Infocaixas sobre ciência
Clowan:Lang-pl	Predefinição:Lang-pl
Ronney:Çheer-oaylleeaght ny h-Austrail rere steat ny thalloo	Categoria:Geografia da Austrália por estado ou território
Yn Çheen (reddaghey)	China (desambiguação)
Druggey-soccar	Uso recreativo de drogas
Ronney:Queiggaghyn ny Spaainey	Categoria:Províncias da Espanha
Ronney:Neetragien	Categoria:Azoto
Ronney:Caayryn 'sy Chrimeea	Categoria:Cidades da Crimeia
Ronney:Obbrinaght chontinuum	Categoria:Mecânica dos meios contínuos
Ronney:Genreyn	Categoria:Gêneros
Ronney:Leigh rere bun-chooish	Categoria:Direito por disciplina
Ronney:Yn Flandyryn	Categoria:Flandres
Ronney:Baljyn as baljyn beggey ayns Coontae Shliggee	Categoria:Cidades do Condado de Sligo
Ronney:Minsk	Categoria:Minsk
Ronney:Slystyn as thallooyn preeu-valjagh	Categoria:Distrito Capital e territórios
Ronney:Ardjyn ny Çheerey Injil	Categoria:Regiões dos Países Baixos
Ronney:Fyshoaylleeaght	Categoria:Fisiologia
Ronney:Cantoonyn	Categoria:Cantões
Ronney:Çhengaghyn Zaparoagh	Categoria:Línguas zaparoanas
Ronney:Zagreb	Categoria:Zagreb
Ronney:Yerevan	Categoria:Erevan
Ronney:Clowanyn corys screeuee	Categoria:!Predefinições sobre sistemas de escrita
Trojany, Queiggey Mazowsze	Trojany
Ronney:Maloideae	Categoria:Maloideae
Ronney:Çheer-oaylleeaght Ellanyn ny Geyrragh	Categoria:Geografia das Ilhas Feroé
Ronney:Ellanyn ayns Ellanyn ny Geyrragh	Categoria:Ilhas das Ilhas Feroé
Ronney:Buill chummaltagh ayns Ellanyn ny Geyrragh	Categoria:Cidades das Ilhas Faroés
Ronney:Clowanyn kiaull	Categoria:!Predefinições sobre música
Ronney:Ny Çheeraghyn Balkanagh	Categoria:Bálcãs
Ronney:Ynsaghey çhengey	Categoria:Ensino de idiomas
Ronney:Çhengaghyn Anglo-Freeshlannagh	Categoria:Línguas anglo-frisãs
Ronney:Baarle	Categoria:Língua inglesa
Ronney:Sleih ass Winchester	Categoria:Naturais de Winchester
Clowan:MedlinePlus2	Predefinição:MedlinePlus2
Clowan:Gutenberg	Predefinição:Gutenberg
Ronney:Åland	Categoria:Åland
Ronney:Reiltys Phobblaght Nerin	Categoria:Governo da República da Irlanda
Ronney:Aundyryn caslys-skeeal	Categoria:Premiações de banda desenhada
Ronney:Lerphoyll	Categoria:Liverpool
Ronney:Kimmeeyssyn caggee Natseeagh	Categoria:Criminosos de guerra nazistas
Ronney:Irreyderyn magh Yernagh	Categoria:Revolucionários da Irlanda
Ronney:Stiureyderyn çhellveeish Americaanagh	Categoria:Diretores de televisão dos Estados Unidos
Ronney:Awinyn ny Britaan	Categoria:Rios da Bretanha
Ronney:Shennaghys Norlynn	Categoria:História da Noruega
Ronney:Çheeraghyn ny h-Aishey	Categoria:Países da Ásia
Ronney:Çheeraghyn ayns America	Categoria:Países da América
Ronney:Dooieyn anvio IUCN Red List	Categoria:Espécies extintas (IUCN)
Ronney:Kimmeeyssyn y Nah Chaggey Dowanagh	Categoria:Crimes de guerra na Segunda Guerra Mundial
Ronney:Canis	Categoria:Lobos
Clowan:Cass oaylleeaght najooragh	Predefinição:Ciências naturais
Ronney:Ellyneyryn Iddaalagh	Categoria:Artistas da Itália
Ronney:Joaraghyn	Categoria:Fronteiras
Ronney:Clowanyn Wikipedia gyn ronney	Categoria:!Predefinições por categorizar
Ronney:Clowanyn rere currym	Categoria:!Predefinições por função
Ronney:Ushtey 'sy Ghermaan	Categoria:Água na Alemanha
Ronney:Shirveishee Argidys	Categoria:Ministros das Finanças
Clowan:User gd-3	Predefinição:User gd-3
Clowan:Ymmydeyr gd-2	Predefinição:User gd-2
Clowan:Ymmydeyr gd-1	Predefinição:User gd-1
Ronney:Clowanyn Wikipedia AM	Categoria:!Predefinições de artigo bom
Clowan:Ymmydeyr cy-2	Predefinição:User cy-2
Clowan:Ymmydeyr cy-1	Predefinição:User cy-1
Clowan:Lang-ro	Predefinição:Lang-ro
Clowan:Lang-oc	Predefinição:Lang-oc
Ronney:Yn Vooir Vane	Categoria:Mar Branco
Clowan:Lang-ka	Predefinição:Lang-ka
Clowan:Lang-hu	Predefinição:Lang-hu
Clowan:Lang-gd	Predefinição:Lang-gd
Clowan:Lang-et	Predefinição:Lang-et
Clowan:Lang-es	Predefinição:Lang-es
Clowan:Lang-dsb	Predefinição:Lang-dsb
Clowan:Lang-cy	Predefinição:Lang-cy
Clowan:Lang-ca	Predefinição:Lang-ca
