Afríka	África
Taílenska	Língua tailandesa
Búrmíska	Língua birmanesa
Jaínismi	Jainismo
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
Indónesíska	Língua indonésia
Listi yfir stjörnumerki	Lista de constelações
Mongólska	Língua mongol
Bakú	Baku
Kasakska	Língua cazaque
Andrómeda (stjörnumerki)	Andrômeda (constelação)
Heimsminjaskrá UNESCO	Património Mundial
Úsbekíska	Língua uzbeque
Gyðingdómur	Judaísmo
Timfú	Thimbu
Bandar Seri Begawan	Bandar Seri Begawan
Bereníkuhaddur	Coma Berenices
Hebreska	Língua hebraica
Aserbaídsjanska	Língua azeri
Ibn Khaldun	Ibn Khaldun
Makedónska	Língua macedônia
Serbneska	Língua sérvia
Velska	Língua galesa
Dili	Díli
Immanuel Kant	Immanuel Kant
Gelíska	Língua gaélica escocesa
Síkismi	Sikhismo
John Maynard Keynes	John Maynard Keynes
Lufthansa	Lufthansa
Vientiane	Vienciana
Guy de Maupassant	Guy de Maupassant
Hegðun	Comportamento
Laó Tse	Lao Zi
Google Docs	Google Docs
Malé	Malé
Jóga	Ioga
Pikachu	Pikachu
John Locke	John Locke
Gianfranco Zola	Gianfranco Zola
Friedrich Nietzsche	Friedrich Nietzsche
Bishkek	Bisqueque
Jean-Paul Sartre	Jean-Paul Sartre
Dúshanbe	Duchambe
Lifur	Fígado
Milta	Baço
Sima Qian	Sima Qian
Nýra	Rim
Adam Smith	Adam Smith
Þvagblaðra	Bexiga
Eista	Testículo
Þvagrás	Uretra
Max Weber	Max Weber
Ludwig Wittgenstein	Ludwig Wittgenstein
Kanínur	Coelho
Zhu Xi	Zhu Xi
Ninja	Ninja
Uppvakningur	Zumbi
Varúlfur	Lobisomem
Geðshræring	Emoção
Sálfræði	Psicologia
Hugsun	Pensamento
Timbúktú	Tombuctu
Haf	Oceano
Tómas af Aquino	Tomás de Aquino
Viktoría Bretadrottning	Vitória do Reino Unido
Gautama Búdda	Sidarta Gautama
Regnskógur	Floresta húmida
Enska úrvalsdeildin	Premier League
Þrætubók	Dialética
Múhameð	Maomé
Siðfræði	Ética
Þekkingarfræði	Epistemologia
Frjáls vilji	Livre-arbítrio
IPod	IPod
Íkorni	Esquilo
Líkindi	Probabilidade
Raunveruleiki	Realidade
Öndun	Respiração
BBC	British Broadcasting Corporation
ILife	ILife
GarageBand	GarageBand
Tony Blair	Tony Blair
Al-Ghazali	Al-Ghazali
Marteinn Lúther	Martinho Lutero
IMovie	IMovie
John Major	John Major
IWeb	IWeb
Konfúsíusismi	Confucionismo
Gerald Ford	Gerald Ford
Vetrarólympíuleikarnir 1924	Jogos Olímpicos de Inverno de 1924
Sjía	Xiismo
Final Cut Pro	Final Cut Pro
Richard Nixon	Richard Nixon
ITunes	ITunes
Vetrarólympíuleikarnir 1928	Jogos Olímpicos de Inverno de 1928
Rómversk-kaþólska kirkjan	Igreja Católica
ITunes Store	ITunes Store
Vetrarólympíuleikarnir 1932	Jogos Olímpicos de Inverno de 1932
Afturbolur	Abdómen
Daoismi	Taoismo
Vetrarólympíuleikarnir 1936	Jogos Olímpicos de Inverno de 1936
Sóróismi	Zoroastrismo
Súfismi	Sufismo
Mæna	Medula espinhal
Vetrarólympíuleikarnir 1940	Jogos Olímpicos de Inverno de 1940
Bláæð	Veia
Bengalska	Língua bengali
Vetrarólympíuleikarnir 1944	Jogos Olímpicos de Inverno de 1944
Tunga	Língua
Vetrarólympíuleikarnir 1948	Jogos Olímpicos de Inverno de 1948
Chelsea F.C.	Chelsea Football Club
Arsenal F.C.	Arsenal Football Club
Bris	Pâncreas
Taug	Nervo
Beinagrind mannsins	Esqueleto humano
Vetrarólympíuleikarnir 1952	Jogos Olímpicos de Inverno de 1952
Blöðruhálskirtill	Próstata
Íhaldsflokkurinn (Bretland)	Partido Conservador (Reino Unido)
Lífhimna	Peritónio
Verkamannaflokkurinn (Bretland)	Partido Trabalhista (Reino Unido)
Eggjastokkur	Ovário
Vetrarólympíuleikarnir 1956	Jogos Olímpicos de Inverno de 1956
Háls	Pescoço
Vetrarólympíuleikarnir 1960	Jogos Olímpicos de Inverno de 1960
Munnur	Boca
Vetrarólympíuleikarnir 1964	Jogos Olímpicos de Inverno de 1964
Barkakýli	Laringe
Lyndon B. Johnson	Lyndon B. Johnson
Vetrarólympíuleikarnir 1968	Jogos Olímpicos de Inverno de 1968
Liðamót	Articulação
Vetrarólympíuleikarnir 1972	Jogos Olímpicos de Inverno de 1972
Falklandseyjar	Ilhas Malvinas
Meltingarkerfi	Aparelho digestivo
Vetrarólympíuleikarnir 1980	Jogos Olímpicos de Inverno de 1980
Slagæð	Artéria
Vetrarólympíuleikarnir 1984	Jogos Olímpicos de Inverno de 1984
Vetrarólympíuleikarnir 1988	Jogos Olímpicos de Inverno de 1988
A	A
Stýrikerfiskjarni	Núcleo (software)
Vetrarólympíuleikarnir 1994	Jogos Olímpicos de Inverno de 1994
Vetrarólympíuleikarnir 1998	Jogos Olímpicos de Inverno de 1998
Vetrarólympíuleikarnir 2002	Jogos Olímpicos de Inverno de 2002
Michael Schumacher	Michael Schumacher
Vetrarólympíuleikarnir 2006	Jogos Olímpicos de Inverno de 2006
Vetrarólympíuleikarnir 2010	Jogos Olímpicos de Inverno de 2010
Mön (Írlandshafi)	Ilha de Man
Vetrarólympíuleikarnir 2014	Jogos Olímpicos de Inverno de 2014
Wighteyja	Ilha de Wight
Elísabet 2. Bretadrottning	Isabel II do Reino Unido
Tangveldið	Dinastia Tang
The New York Times	The New York Times
Díana prinsessa	Diana, Princesa de Gales
Henry Purcell	Henry Purcell
John F. Kennedy	John F. Kennedy
Rýrt úran	Urânio empobrecido
B	B
Blaðra	Balão (bexiga inflável)
Honoré de Balzac	Honoré de Balzac
Sæði	Sémen
Klassísk tónlist	Música clássica
Sinfónía	Sinfonia
G	G
U	U
Z	Z
Blús	Blues
Flamenco	Flamenco
F	F
J	J
Raftónlist	Música eletrônica
Stafróf	Alfabeto
Bókstafur	Letra
Reggí	Reggae
Saxófónn	Saxofone
T	T
C (bókstafur)	C
Eindhoven	Eindhoven
R	R
D	D
Alfa	Α
Ómega	Ω
I	I
Pestó	Pesto
Mý (bókstafur)	Μ
Mingveldið	Dinastia Ming
E	E
H	H
Dwight D. Eisenhower	Dwight D. Eisenhower
Haarlem	Haarlem
K	K
Haarlemmermeer	Haarlemmermeer
L	L
M	M
Fanta	Fanta
N	N
Hoorn	Hoorn
O	O
P	P
Q	Q
S	S
Ronald Reagan	Ronald Reagan
V	V
W	W
Texel	Texel
X	X
Y	Y
Ä	Ä
Å (bókstafur)	Å
Æ	Æ
Ð	Ð
É	É
Deventer	Deventer
Enschede	Enschede
Fí	Φ
Wanli	Imperador Wanli
Rafael Nadal	Rafael Nadal
Súetóníus	Suetónio
Söngvakeppni evrópskra sjónvarpsstöðva 2007	Festival Eurovisão da Canção 2007
Söngvakeppni evrópskra sjónvarpsstöðva 2008	Festival Eurovisão da Canção 2008
Söngvakeppni evrópskra sjónvarpsstöðva 2009	Festival Eurovisão da Canção 2009
Söngvakeppni evrópskra sjónvarpsstöðva 2010	Festival Eurovisão da Canção 2010
Söngvakeppni evrópskra sjónvarpsstöðva 2011	Festival Eurovisão da Canção 2011
Söngvakeppni evrópskra sjónvarpsstöðva 2012	Festival Eurovisão da Canção 2012
Söngvakeppni evrópskra sjónvarpsstöðva 2013	Festival Eurovisão da Canção de 2013
Zazaska	Zazaki
Pragelato	Pragelato
Rafgas	Plasma
Ermarsundsgöngin	Eurotúnel
Pýþagóras	Pitágoras
Colosseum	Coliseu de Roma
Meyjarhofið í Aþenu	Partenon
Tunna	Barril
Fátækt	Pobreza
Sestriere	Sestriere
Zaragoza	Saragoça
John McCain	John McCain
Gaupan	Lynx (constelação)
Veiðihundarnir	Canes Venatici
Katrín, hertogaynja af Cambridge	Catarina de Cambridge
David Beckham	David Beckham
Ryan Giggs	Ryan Giggs
Hagaköngulær	Gnaphosidae
Heiðar Helguson	Heiðar Helguson
Fredrik Ljungberg	Fredrik Ljungberg
Nautið (stjörnumerki)	Taurus
Hrúturinn (stjörnumerki)	Aries
Football Manager	Football Manager
Gordon Brown	Gordon Brown
Alex Salmond	Alex Salmond
Skoski þjóðarflokkurinn	Partido Nacional Escocês
1100	1100
Neville Chamberlain	Neville Chamberlain
Kim Jong-il	Kim Jong-il
Flokkur:Venesúela	Categoria:Venezuela
Sega Mega Drive	Mega Drive
PlayStation	PlayStation (console)
PlayStation 2	PlayStation 2
PlayStation 3	PlayStation 3
Belfast	Belfast
Cardiff	Cardiff
Plaid Cymru	Plaid Cymru
Lotukerfið	Tabela periódica
Þórshöfn (Færeyjum)	Tórshavn
Red Hot Chili Peppers	Red Hot Chili Peppers
At-merki	@
Georgetown	Georgetown (Guiana)
Sjálfsmorð	Suicídio
Svín (ættkvísl)	Sus
Dildó	Dildo
Hryðjuverkin 11. september 2001	Ataques de 11 de setembro de 2001
Skriðdýr	Répteis
Kynlífsleikfang	Brinquedo sexual
Hryðjuverkin 7. júlí 2005	Atentados de 7 de julho de 2005 em Londres
Nagdýr	Roedores
Dúfur	Columbidae
Spænska borgarastyrjöldin	Guerra Civil Espanhola
Forngerlar	Archaea
Blinda	Cegueira
Gerlar	Bactéria
Tré	Árvore
Frumverur	Protista
Lambda	Λ
Froskdýr	Anfíbios
Seildýr	Cordados
Harðkjarnapönk	Hardcore punk
Stafrófsröð	Ordem alfabética
Tilfinningarokk	Emo
Krabbaþokan	Nebulosa do Caranguejo
Ostur	Queijo
Vínber	Uva
Þríþraut	Triatlo
Hunang	Mel
Kjöt	Carne
Tiger Woods	Tiger Woods
Kartafla	Batata
Matarsykur	Açúcar
Grænmeti	Hortaliça
Sojabaun	Soja
Hneta	Noz
Breska þingið	Parlamento do Reino Unido
Vélmenni	Robô
Tækni	Tecnologia
Vél	Máquina
Skrúfa	Parafuso
Verkfræði	Engenharia
Samskipti	Comunicação
Upplýsingar	Informação
Blaðamennska	Jornalismo
Dagblað	Jornal
Fjölmiðill	Meios de comunicação social
Prentun	Impressão
Sími	Telefone
The Rolling Stones	The Rolling Stones
Menning	Cultura
Hindí-úrdú	Língua hindustâni
Ríbósakjarnsýra	Ácido ribonucleico
Sanskrít	Sânscrito
Blóðrásarkerfi	Sistema circulatório
Innkirtlakerfi	Sistema endócrino
Alzheimer	Doença de Alzheimer
Ristill	Intestino grosso
Parkinsonsveiki	Doença de Parkinson
Mjógirni	Intestino delgado
Athygli	Sistema sensorial
Ibn al-Haytham	Alhazen
Beikon	Toucinho
Sonia Sotomayor	Sonia Sotomayor
Söngvakeppni evrópskra sjónvarpsstöðva 2000	Festival Eurovisão da Canção 2000
Söngvakeppni evrópskra sjónvarpsstöðva 1999	Festival Eurovisão da Canção 1999
Lugo	Lugo (Galiza)
IP-tala	Endereço IP
Samuel Alito	Samuel Alito
Maastrichtsáttmálinn	Tratado de Maastricht
The Guardian	The Guardian
Tungumál í Evrópusambandinu	Línguas da União Europeia
Enski bikarinn	Copa da Inglaterra
Enski deildabikarinn	Copa da Liga Inglesa
John G. Roberts	John Roberts
Sýra	Ácido
UDP	User Datagram Protocol
Ólífræn efnafræði	Química inorgânica
Super Mario Bros.	Super Mario Bros.
Spurningarmerki	Ponto de interrogação
Efnasamband	Composto químico
Tvíbroddur	Acento circunflexo
22. öldin	2106
Network address translation	Network address translation
Júlíska tímatalið	Calendário juliano
Læknisfræði	Medicina
Basi	Base (química)
Sarajevó	Sarajevo
Logri	Logaritmo
Hæstiréttur Bandaríkjanna	Suprema Corte dos Estados Unidos
Línulegt jöfnuhneppi	Sistema de equações lineares
Löggjafarvald	Poder Legislativo
Talnareikningur	Aritmética
Stjórnskipunarréttur	Direito constitucional
Pentagon	O Pentágono
Hnit (stærðfræði)	Sistema de coordenadas
Bandaríkjaher	Forças Armadas dos Estados Unidos
Windows 7	Windows 7
Strumparnir	Les Schtroumpfs
Hundraðshluti	Porcentagem
Windows Vista	Windows Vista
World Trade Center	World Trade Center
One World Trade Center	1 World Trade Center
Windows XP	Windows XP
Borðsalt	Sal de cozinha
Fidel Castro	Fidel Castro
Times Square	Times Square
Broadway	Broadway
Bandaríkjaþing	Congresso dos Estados Unidos
Gamlárskvöld	Véspera de Ano-Novo
Flokkur:Brasilía	Categoria:Brasil
Vefþjónn	Servidor web
Manhattan	Manhattan
Skýjakljúfur	Arranha-céu
Verslunarmiðstöð	Centro comercial
Flokkur:Rúmenía	Categoria:Roménia
Frumefni	Elemento (química)
Jafna	Equação
Fall (stærðfræði)	Função (matemática)
Lífræn efnafræði	Química orgânica
Sykra	Carboidrato
Aryabhata	Ariabata
Hormón	Hormona
Grugg	Grunge
Jaðarrokk	Rock alternativo
Fita	Lípido
Unix	Unix
Sameind	Molécula
Eðlisefnafræði	Físico-química
Þráðlaust net	Rede sem fio
Hröðun	Aceleração
Síva	Shiva
Orka	Energia
Visnjú	Vixnu
Staðarnet	Rede de área local
Orkuvarðveisla	Lei da conservação da energia
Víðnet	Rede de longa distância
Rafsegulgeislun	Radiação eletromagnética
Innrautt ljós	Radiação infravermelha
Brama	Brama
Útfjólublátt ljós	Radiação ultravioleta
Tegund í útrýmingarhættu	Espécie em perigo
Tamning	Domesticação
Sígild aflfræði	Mecânica clássica
Vísindaleg flokkun	Classificação científica
Rokk	Rock
Hipphopp	Hip hop
Kraftur	Força
Samba	Samba
Tromma	Tambor
Flauta	Flauta
Rafsegulfræði	Eletromagnetismo
Segulsvið	Campo magnético
Aðskilnaðarstefnan í Suður-Afríku	Apartheid
Spil	Jogo
Kotra	Gamão
Þyngdarafl	Gravidade
Gó	Go
Bardagaíþrótt	Artes marciais
Karate	Caratê
Júdó	Judô
Segull	Íman
Leikfang	Brinquedo
Massi	Massa
Kvikmynd	Filme
Teiknimynd	Animação
Málmur	Metal
Stál	Aço
Kjarnaklofnun	Fissão nuclear
Efnishamur	Estados físicos da matéria
Gas	Gás
Vökvi	Líquido
Loftfar	Aeronave
Storkuhamur	Sólido
Reiðhjól	Bicicleta
Skip	Navio
Geislavirkni	Radioatividade
Landbúnaður	Agricultura
Almenna afstæðiskenningin	Relatividade geral
Áveita	Irrigação
Takmarkaða afstæðiskenningin	Relatividade restrita
Hálfleiðari	Semicondutor
Baðmull	Algodão
Fatnaður	Roupa
Hljóð	Som
Adobe Systems	Adobe Systems
Plógur	Arado
Hraði	Velocidade
Hiti	Temperatura
Málmfræði	Metalurgia
Örtækni	Nanotecnologia
Gler	Vidro
Tími	Tempo
Pappír	Papel
Varmafræði	Termodinâmica
Plast	Plástico
Lofttæmi	Vácuo
Flatarmál	Área
Regla Pýþagórasar	Teorema de Pitágoras
Gammageisli	Radiação gama
Stærðfræðileg sönnun	Prova matemática
Tala (stærðfræði)	Número
Tvinntölur	Número complexo
Darwin (Ástralía)	Darwin (Austrália)
Kílógramm	Quilograma
Cristiano Ronaldo	Cristiano Ronaldo
Avatar: The Last Airbender	Avatar: The Last Airbender
Metri	Metro
Sekúnda	Segundo
Maís	Milho
Bygg	Cevada
Kelvin	Kelvin
Lítri	Litro
Iker Casillas	Iker Casillas
Harry S. Truman	Harry S. Truman
Eraserhead	Eraserhead
Firefly	Firefly
Málverk	Pintura
Geimfari	Astronauta
Ljósmyndun	Fotografia
Höggmyndalist	Escultura
Leiklist	Teatro
Judy Garland	Judy Garland
Dans	Dança
Grace Hopper	Grace Hopper
Leirkeragerð	Olaria
Nine Inch Nails	Nine Inch Nails
Nirvana (hljómsveit)	Nirvana (banda)
Rafeindatækni	Eletrônica
Rafstraumur	Corrente elétrica
Tíðni	Frequência
Rafeindaíhlutur	Componente eletrônico
Tvistur	Diodo semicondutor
Spennubreytir	Transformador
Gervigreind	Inteligência artificial
Upplýsingatækni	Tecnologia da informação
Steffi Graf	Steffi Graf
Veður	Tempo (meteorologia)
Hungurleikarnir	The Hunger Games
Skuldabréf	Obrigação (economia)
Forseti Bandaríkjanna	Presidente dos Estados Unidos
Stjórnarskrá Bandaríkjanna	Constituição dos Estados Unidos
Varaforseti Bandaríkjanna	Vice-presidente dos Estados Unidos
Fulltrúadeild Bandaríkjaþings	Câmara dos Representantes dos Estados Unidos
John Boehner	John Boehner
Bandarísku Jómfrúaeyjar	Ilhas Virgens Americanas
Veitingahús	Restaurante
Suðaustur-Asía	Sudeste Asiático
Chongqing	Chongqing
Ö	Ö
Lahore	Lahore
Wuhan	Wuhan
Listi yfir fullvalda ríki	Lista de Estados soberanos
Heinz Fischer	Heinz Fischer
Forsögulegur tími	Pré-história
Steinöld	Idade da Pedra
Bronsöld	Idade do Bronze
Járnöld	Idade do Ferro
Mesópótamía	Mesopotâmia
Egyptaland hið forna	Antigo Egito
Beringssund	Estreito de Bering
Grikkland hið forna	Grécia Antiga
Gupta-veldið	Império Gupta
Bjarndýr	Ursidae
John Adams	John Adams
Thomas Jefferson	Thomas Jefferson
James Madison	James Madison
James Monroe	James Monroe
John Quincy Adams	John Quincy Adams
Andrew Jackson	Andrew Jackson
Martin Van Buren	Martin van Buren
Þyrnirós	A Bela Adormecida (conto)
Mjallhvít	Branca de Neve
Stígvélaði kötturinn	O Gato de Botas
Rauðhetta	Capuchinho Vermelho
Antoni Grabowski	Antoni Grabowski
Litla hafmeyjan	A Pequena Sereia
Silvio Berlusconi	Silvio Berlusconi
Prinsessan á bauninni	A Princesa e a Ervilha
Nýju fötin keisarans	A Roupa Nova do Rei
Litli ljóti andarunginn	O Patinho Feio
William Henry Harrison	William Henry Harrison
Litla stúlkan með eldspýturnar	A Pequena Vendedora de Fósforos
Snædrottningin	A Rainha da Neve
John Tyler	John Tyler
William Rowan Hamilton	William Rowan Hamilton
James K. Polk	James K. Polk
Guns N' Roses	Guns N' Roses
Zachary Taylor	Zachary Taylor
Beck	Beck Hansen
Hýpatía	Hipátia
Bern (kantóna)	Berna (cantão)
Glarus	Glarus (cantão)
Graubünden	Grisões
Solothurn (fylki)	Soleura (cantão)
Kevin Costner	Kevin Costner
Mikki Mús	Mickey Mouse
Locarno	Locarno
Mína Mús	Minnie Mouse
Jóakim Aðalönd	Tio Patinhas
Andabær	Patópolis
Carl Barks	Carl Barks
Zürich (fylki)	Zurique (cantão)
Alicante	Alicante
Ripp, Rapp og Rupp	Huguinho, Zezinho e Luisinho
Aargau	Argóvia (cantão)
Las Palmas de Gran Canaria	Las Palmas
Britney Spears	Britney Spears
Melting	Digestão
Ljóstillífun	Fotossíntese
Sinfónía frá nýja heiminum	Sinfonia n.º 9 (Dvořák)
Æxlun	Reprodução
Meðganga	Gravidez
Kylie Minogue	Kylie Minogue
Eik (tré)	Carvalho
Dave Grohl	Dave Grohl
Eric Saade	Eric Saade
Píanósónata nr. 14 (Beethoven)	Sonata para piano n.º 14 (Beethoven)
Google Maps	Google Maps
Kambfætlur	Theridiidae
Furur	Pinheiro
Fíkn	Dependência psicológica
1101	1101
1102	1102
Krabbamein	Cancro
Mygalomorphae	Mygalomorphae
Eiginlegar köngulær	Araneomorphae
Kólera	Cólera
Rúgur	Centeio
Skylmingar	Esgrima
Hafrar	Aveia-comum
Hveiti	Trigo
Bretónska	Língua bretã
Dúrra	Sorghum
Korn	Cereal
Betelgás	Betelgeuse
Kvef	Constipação
Tannlækningar	Odontologia
Parsek	Parsec
Fötlun	Deficiência
Dagatal	Calendário
Heyrnarleysi	Surdez
Geðsjúkdómur	Transtorno mental
Sjúkdómur	Doença
Gregoríska tímatalið	Calendário gregoriano
Lyf	Medicamento
Tímabelti	Fuso horário
Nikótín	Nicotina
Heilsa	Saúde
Hjartaáfall	Infarto agudo do miocárdio
Tútankamon	Tutancâmon
Malaría	Malária
Næringarkvilli	Má-nutrição
Aldebaran	Aldebarã
Blæðingar	Menstruação
Offita	Obesidade
Manska	Língua manesa
Heimsfaraldur	Pandemia
Sýklalyf	Antibiótico
Penisillín	Penicilina
Nantes	Nantes
Lungnabólga	Pneumonia
Mænusótt	Poliomielite
Kynsjúkdómur	Doença sexualmente transmissível
Alnæmi	Síndrome da imunodeficiência adquirida
Heilablóðfall	Acidente vascular cerebral
Berklar	Tuberculose
Snið:Location map Þýskaland	Predefinição:Mapa de localização/Alemanha
Sykursýki	Diabetes mellitus
Bólusótt	Varíola
Kúrdar	Curdos
Murcia	Múrcia
Snið:Location map Ísland	Predefinição:Mapa de localização/Islândia
Snið:Location map Noregur	Predefinição:Mapa de localização/Noruega
Snið:Location map Danmörk	Predefinição:Mapa de localização/Dinamarca
Snið:Location map Svíþjóð	Predefinição:Mapa de localização/Suécia
Snið:Location map Finnland	Predefinição:Mapa de localização/Finlândia
Snið:Location map Eistland	Predefinição:Mapa de localização/Estônia
Snið:Location map Lettland	Predefinição:Mapa de localização/Letónia
Snið:Location map Litháen	Predefinição:Mapa de localização/Lituânia
Stanley	Stanley (cidade)
Snið:Location map Írland	Predefinição:Mapa de localização/Irlanda
Snið:Location map Holland	Predefinição:Mapa de localização/Países Baixos
Snið:Location map Belgía	Predefinição:Mapa de localização/Bélgica
Snið:Location map Lúxemborg	Predefinição:Mapa de localização/Luxemburgo
Snið:Location map Frakkland	Predefinição:Mapa de localização/França
Snið:Location map Andorra	Predefinição:Mapa de localização/Andorra
Snið:Location map Spánn	Predefinição:Mapa de localização/Espanha
Snið:Location map Portúgal	Predefinição:Mapa de localização/Portugal Continental
Snið:Location map Malta	Predefinição:Mapa de localização/Malta
Snið:Location map Ítalía	Predefinição:Mapa de localização/Itália
Snið:Location map Sviss	Predefinição:Mapa de localização/Suíça
Snið:Location map Liechtenstein	Predefinição:Mapa de localização/Liechtenstein
Byggingarlist	Arquitetura
Snið:Location map Austurríki	Predefinição:Mapa de localização/Áustria
Snið:Location map Pólland	Predefinição:Mapa de localização/Polônia
Snið:Location map Tékkland	Predefinição:Mapa de localização/República Checa
Bogi (byggingarlist)	Arco (arquitetura)
Snið:Location map Slóvakía	Predefinição:Mapa de localização/Eslováquia
Brú	Ponte
Snið:Location map Ungverjaland	Predefinição:Mapa de localização/Hungria
Snið:Location map Slóvenía	Predefinição:Mapa de localização/Eslovênia
Skurður	Canal
Snið:Location map Króatía	Predefinição:Mapa de localização/Croácia
Snið:Location map Bosnía og Hersegóvína	Predefinição:Mapa de localização/Bósnia e Herzegovina
Snið:Location map Serbía	Predefinição:Mapa de localização/Sérvia
Snið:Location map Svartfjallaland	Predefinição:Mapa de localização/Montenegro
Snið:Location map Lýðveldið Makedónía	Predefinição:Mapa de localização/Macedônia
Snið:Location map Grikkland	Predefinição:Mapa de localização/Grécia
Snið:Location map Búlgaría	Predefinição:Mapa de localização/Bulgária
Snið:Location map Moldóva	Predefinição:Mapa de localização/Moldávia
Millard Fillmore	Millard Fillmore
Snið:Location map Úkraína	Predefinição:Mapa de localização/Ucrânia
Snið:Location map Hvíta-Rússland	Predefinição:Mapa de localização/Bielorrússia
Snið:Location map Rússland	Predefinição:Mapa de localização/Rússia
Franklin Pierce	Franklin Pierce
Snið:Location map Georgía	Predefinição:Mapa de localização/Geórgia
Stífla	Barragem
James Buchanan	James Buchanan
Snið:Location map Kýpur	Predefinição:Mapa de localização/Chipre
Snið:Location map Sýrland	Predefinição:Mapa de localização/Síria
Snið:Location map Jórdanía	Predefinição:Mapa de localização/Jordânia
